"","x.values","f.values","var","inter","data_func","datapoints","decay","technique","average_area"
"297",0,-0.535601995591846,1,1,"data1",200,1e-04,"ale",0.120601443324803
"298",0.0249692857260046,-0.50590742146633,1,1,"data1",200,1e-04,"ale",0.120601443324803
"299",0.0416959359529863,-0.485078426308095,1,1,"data1",200,1e-04,"ale",0.120601443324803
"300",0.0754739468181485,-0.436244866943114,1,1,"data1",200,1e-04,"ale",0.120601443324803
"301",0.0920026303763442,-0.411962240765624,1,1,"data1",200,1e-04,"ale",0.120601443324803
"302",0.12453806004967,-0.366847419247577,1,1,"data1",200,1e-04,"ale",0.120601443324803
"303",0.135096166489238,-0.353763841037323,1,1,"data1",200,1e-04,"ale",0.120601443324803
"304",0.144664893742907,-0.34236029369083,1,1,"data1",200,1e-04,"ale",0.120601443324803
"305",0.162699459920962,-0.325042328650124,1,1,"data1",200,1e-04,"ale",0.120601443324803
"306",0.16961029327778,-0.319459083042859,1,1,"data1",200,1e-04,"ale",0.120601443324803
"307",0.185022346290368,-0.3040972518476,1,1,"data1",200,1e-04,"ale",0.120601443324803
"308",0.191759449389328,-0.298355638035183,1,1,"data1",200,1e-04,"ale",0.120601443324803
"309",0.205262977203431,-0.288120544316197,1,1,"data1",200,1e-04,"ale",0.120601443324803
"310",0.234305852742273,-0.270861195247047,1,1,"data1",200,1e-04,"ale",0.120601443324803
"311",0.253483704146816,-0.255498425609614,1,1,"data1",200,1e-04,"ale",0.120601443324803
"312",0.294566220572088,-0.23519401711974,1,1,"data1",200,1e-04,"ale",0.120601443324803
"313",0.317250924984882,-0.22539611330374,1,1,"data1",200,1e-04,"ale",0.120601443324803
"314",0.333366659755588,-0.217277714717216,1,1,"data1",200,1e-04,"ale",0.120601443324803
"315",0.352878159178378,-0.200913090796944,1,1,"data1",200,1e-04,"ale",0.120601443324803
"316",0.409291590642808,-0.15009322557001,1,1,"data1",200,1e-04,"ale",0.120601443324803
"317",0.470166253578891,-0.072035538707814,1,1,"data1",200,1e-04,"ale",0.120601443324803
"318",0.483497724641666,-0.0522965485924984,1,1,"data1",200,1e-04,"ale",0.120601443324803
"319",0.49605282647948,-0.0336247855160209,1,1,"data1",200,1e-04,"ale",0.120601443324803
"320",0.513858177764082,-0.00728975666699272,1,1,"data1",200,1e-04,"ale",0.120601443324803
"321",0.539235073848825,0.032543821370606,1,1,"data1",200,1e-04,"ale",0.120601443324803
"322",0.554923360709598,0.0557080427139282,1,1,"data1",200,1e-04,"ale",0.120601443324803
"323",0.575663727090021,0.0840203325609006,1,1,"data1",200,1e-04,"ale",0.120601443324803
"324",0.601462696341586,0.11655182234378,1,1,"data1",200,1e-04,"ale",0.120601443324803
"325",0.622523409357184,0.142550874296643,1,1,"data1",200,1e-04,"ale",0.120601443324803
"326",0.634592135780635,0.156187400720546,1,1,"data1",200,1e-04,"ale",0.120601443324803
"327",0.644036685730119,0.166332840295563,1,1,"data1",200,1e-04,"ale",0.120601443324803
"328",0.663241690407227,0.184381479181896,1,1,"data1",200,1e-04,"ale",0.120601443324803
"329",0.672064910157062,0.191948303888521,1,1,"data1",200,1e-04,"ale",0.120601443324803
"330",0.69670098908351,0.211223370280843,1,1,"data1",200,1e-04,"ale",0.120601443324803
